starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:15:38 2018	1516436138	351	397	749	254
Sat Jan 20 08:15:32 2018	1516436132	305	444	749	97
Sat Jan 20 08:16:00 2018	1516436160	414	335	749	316
Sat Jan 20 08:15:38 2018	1516436138	428	321	749	235
Sat Jan 20 08:15:07 2018	1516436107	396	353	749	347
Sat Jan 20 08:15:35 2018	1516436135	331	418	749	148
Sat Jan 20 08:15:07 2018	1516436107	398	352	750	345
Sat Jan 20 08:15:04 2018	1516436104	391	359	750	260
Sat Jan 20 08:16:00 2018	1516436160	403	347	750	334
Sat Jan 20 08:15:07 2018	1516436107	397	353	750	345
Sat Jan 20 08:15:07 2018	1516436107	397	353	750	346
Sat Jan 20 08:15:38 2018	1516436138	426	324	750	247
Sat Jan 20 08:15:33 2018	1516436133	489	262	751	144
Sat Jan 20 08:15:07 2018	1516436107	397	354	751	346
Sat Jan 20 08:15:07 2018	1516436107	397	354	751	348
Sat Jan 20 08:15:58 2018	1516436158	449	302	751	243
Sat Jan 20 08:15:58 2018	1516436158	449	302	751	243
Sat Jan 20 08:15:58 2018	1516436158	449	302	751	243
Sat Jan 20 08:15:58 2018	1516436158	449	302	751	243
Sat Jan 20 08:16:33 2018	1516436193	409	342	751	144
Sat Jan 20 08:15:38 2018	1516436138	427	324	751	308
Sat Jan 20 08:15:45 2018	1516436145	367	384	752	175
Sat Jan 20 08:15:33 2018	1516436133	488	264	752	147
Sat Jan 20 08:15:45 2018	1516436145	367	386	752	184
Sat Jan 20 08:16:29 2018	1516436189	434	319	754	107
Sat Jan 20 08:15:13 2018	1516436113	426	329	755	266
Sat Jan 20 08:16:03 2018	1516436163	309	445	755	177
Sat Jan 20 08:16:03 2018	1516436163	310	445	755	177
Sat Jan 20 08:16:03 2018	1516436163	310	446	756	177
Sat Jan 20 08:15:35 2018	1516436135	378	378	756	89
Sat Jan 20 08:15:27 2018	1516436127	402	354	756	131
Sat Jan 20 08:16:32 2018	1516436192	328	428	756	238
Sat Jan 20 08:15:27 2018	1516436127	402	354	756	132
Sat Jan 20 08:15:45 2018	1516436145	355	401	756	199
Sat Jan 20 08:15:27 2018	1516436127	402	354	756	132
Sat Jan 20 08:15:58 2018	1516436158	564	193	756	137
Sat Jan 20 08:15:27 2018	1516436127	403	353	757	80
Sat Jan 20 08:15:35 2018	1516436135	379	378	757	89
Sat Jan 20 08:16:03 2018	1516436163	311	446	757	177
Sat Jan 20 08:15:45 2018	1516436145	355	402	757	197
Sat Jan 20 08:15:07 2018	1516436107	412	346	758	158
Sat Jan 20 08:15:33 2018	1516436133	455	304	759	228
Sat Jan 20 08:16:25 2018	1516436185	272	487	759	277
Sat Jan 20 08:15:38 2018	1516436138	361	398	759	255
Sat Jan 20 08:16:25 2018	1516436185	273	487	760	277
Sat Jan 20 08:16:25 2018	1516436185	273	487	760	277
Sat Jan 20 08:16:25 2018	1516436185	273	487	760	277
Sat Jan 20 08:16:25 2018	1516436185	273	487	760	277
Sat Jan 20 08:16:25 2018	1516436185	273	487	760	277
Sat Jan 20 08:16:22 2018	1516436182	208	552	760	312
Sat Jan 20 08:16:24 2018	1516436184	441	320	760	105
Sat Jan 20 08:15:38 2018	1516436138	362	399	761	280
Sat Jan 20 08:16:03 2018	1516436163	427	334	761	169
Sat Jan 20 08:16:03 2018	1516436163	427	334	761	168
Sat Jan 20 08:15:27 2018	1516436127	408	353	761	79
Sat Jan 20 08:16:33 2018	1516436193	433	329	761	176
Sat Jan 20 08:15:38 2018	1516436138	362	399	762	322
Sat Jan 20 08:15:51 2018	1516436151	349	412	762	323
Sat Jan 20 08:16:33 2018	1516436193	433	329	762	202
Sat Jan 20 08:15:27 2018	1516436127	406	356	762	133
Sat Jan 20 08:15:38 2018	1516436138	361	401	762	385
Sat Jan 20 08:16:33 2018	1516436193	434	328	762	175
