starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 20 08:28:40 2018	1516436920	592	389	981	345
Sat Jan 20 08:30:15 2018	1516437015	458	523	981	355
Sat Jan 20 08:30:28 2018	1516437028	643	338	981	276
Sat Jan 20 08:29:45 2018	1516436985	768	213	981	192
Sat Jan 20 08:30:15 2018	1516437015	458	523	981	375
Sat Jan 20 08:30:08 2018	1516437008	554	428	981	400
Sat Jan 20 08:29:45 2018	1516436985	443	539	982	471
Sat Jan 20 08:30:08 2018	1516437008	275	707	982	677
Sat Jan 20 08:29:06 2018	1516436946	711	270	982	251
Sat Jan 20 08:30:15 2018	1516437015	463	519	982	296
Sat Jan 20 08:28:40 2018	1516436920	592	390	982	387
Sat Jan 20 08:28:40 2018	1516436920	555	427	982	410
Sat Jan 20 08:29:45 2018	1516436985	769	213	982	192
Sat Jan 20 08:30:08 2018	1516437008	536	446	982	324
Sat Jan 20 08:30:24 2018	1516437024	693	289	982	270
Sat Jan 20 08:30:08 2018	1516437008	554	427	982	400
Sat Jan 20 08:29:56 2018	1516436996	712	270	982	177
Sat Jan 20 08:30:00 2018	1516437000	590	392	982	326
Sat Jan 20 08:29:45 2018	1516436985	443	539	982	471
Sat Jan 20 08:30:28 2018	1516437028	644	338	982	253
Sat Jan 20 08:29:56 2018	1516436996	691	291	982	269
Sat Jan 20 08:29:45 2018	1516436985	555	428	982	388
Sat Jan 20 08:28:53 2018	1516436933	775	207	983	204
Sat Jan 20 08:28:40 2018	1516436920	590	392	983	389
Sat Jan 20 08:30:08 2018	1516437008	345	637	983	608
Sat Jan 20 08:30:15 2018	1516437015	463	519	983	295
Sat Jan 20 08:29:46 2018	1516436986	685	298	983	263
Sat Jan 20 08:30:08 2018	1516437008	562	421	983	375
Sat Jan 20 08:30:15 2018	1516437015	471	512	983	428
Sat Jan 20 08:29:12 2018	1516436952	355	628	983	490
Sat Jan 20 08:29:36 2018	1516436976	500	484	983	204
Sat Jan 20 08:30:15 2018	1516437015	480	503	983	419
